station_key,station_name,lat,lng,departures,arrivals,total_usage
31273,Hains Point/Buckeye & Ohio Dr SW,38.878433,-77.03023,8083,8177,16260
31207,Georgia Ave & Fairmont St NW,38.92478458526696,-77.02232748270035,8481,7739,16220
31669,3rd & M St SE,38.876903892,-77.001842976,7737,8408,16145
31300,Van Ness Metro / UDC,38.944551,-77.063896,8115,7952,16067
31660,7th & K St NE,38.902594,-76.995141,7965,8050,16015
31005,Pentagon City Metro / 12th St & S Hayes St,38.862303,-77.059936,7958,8005,15963
31529,Edgewood Rec Center,38.924144,-77.002098,8069,7851,15920
31307,3000 Connecticut Ave NW / National Zoo,38.930282,-77.055599,8218,7702,15920
31659,11th & C St SE,38.885908,-76.991476,8048,7871,15919
31522,2nd St & Seaton Pl NE,38.91475110883116,-77.00356006622314,8205,7712,15917
31204,20th & E St NW,38.8963,-77.045,7799,8087,15886
31106,Calvert & Biltmore St NW,38.923203,-77.047637,9050,6813,15863
31393,Wisconsin Ave & Upton St NW,38.941832781,-77.076446176,8150,7684,15834
31626,15th St & Massachusetts Ave SE,38.88732,-76.983569,8004,7824,15828
31500,4th & W St NE,38.919077,-77.000648,7969,7856,15825
31014,19th St N & Ft Myer Dr,38.897218,-77.072143,7344,8436,15780
31675,North Capitol & K St NE,38.90244372501735,-77.00824588537216,7850,7869,15719
31421,Grant Circle,38.942024743273045,-77.01822102069855,8612,6981,15593
31337,33rd St & Wisconsin Ave NW,38.912181,-77.066074,7505,8059,15564
31516,Rhode Island Ave Metro,38.920682,-76.995876,7860,7407,15267
31678,4th & O St SW,38.872964,-77.017585,7542,7671,15213
31314,34th & Water St NW,38.9037315,-77.0675285,6697,8427,15124
31637,North Capitol St & G Pl NE,38.899703,-77.008911,7415,7467,14882
31523,Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center,38.915,-77.0078,7906,6894,14800
31667,2nd & V St SW / James Creek Marina,38.863690615,-77.013930917,7142,7657,14799
31514,Hamlin & 7th St NE,38.927497,-76.997194,7597,7108,14705
31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,38.88412,-77.04657,7275,7410,14685
31200,Massachusetts Ave & Dupont Circle NW,38.9101,-77.0444,7192,7428,14620
31292,22nd St & Constitution Ave NW,38.892441,-77.048947,7240,7313,14553
31252,21st St & Pennsylvania Ave NW,38.901539,-77.046564,7221,7254,14475
31287,10th St & L'Enfant Plaza SW,38.88432272414662,-77.02601015567778,7212,7058,14270
31007,Crystal City Metro / 18th St & S Bell St,38.85778509815245,-77.05169767141342,7097,7164,14261
31217,USDA / 12th & C St SW,38.88627694506511,-77.02824175357819,6939,7319,14258
31112,Harvard St & Adams Mill Rd NW,38.927872,-77.043358,7146,7046,14192
31507,1st & Washington Hospital Center NW,38.928743,-77.012457,7359,6788,14147
31235,19th St & Constitution Ave NW,38.89221235271478,-77.04307436943054,6823,7193,14016
31417,Kansas Ave & Sherman Cr NW,38.94796174822241,-77.02154964208603,7403,6537,13940
31644,12th St & Pennsylvania Ave SE,38.882489,-76.990121,7078,6845,13923
31211,Kennedy Center,38.897293,-77.05557,6662,7255,13917
32418,West Hyattsville Metro,38.955349,-76.968084,6988,6913,13901
31406,14th & Upshur St NW,38.942475355602845,-77.03267812728882,7328,6524,13852
31629,8th & East Capitol St NE,38.889988,-76.995193,6951,6812,13763
31062,Roosevelt Island,38.896553,-77.06714,6848,6914,13762
31024,Virginia Square Metro / Monroe St & 9th St N,38.882788,-77.103148,7303,6357,13660
31608,8th & Eye St SE / Barracks Row,38.8792,-76.9953,6821,6832,13653
31002,Crystal Dr & 20th St S,38.856425,-77.049232,6685,6826,13511
31140,21st & L St NW ,38.90394485,-77.046472073,6428,7005,13433
31016,Clarendon Blvd & Pierce St,38.893438,-77.076389,6666,6630,13296
31656,Maryland Ave & 17th St NE,38.901935,-76.978627,6645,6638,13283
31601,19th & East Capitol St SE,38.8896,-76.9769,6599,6587,13186
31027,Wilson Blvd & N Quinn St,38.893993,-77.07857,6705,6452,13157
32226,20th & I St NW,38.90155,-77.045021,6390,6765,13155
31294,7th & E St SW,38.88345,-77.021741,6514,6542,13056
31429,Rock Creek Pkwy & Pkwy Dr NW ,38.891970158,-77.054595232,6469,6448,12917
31039,Wilson Blvd & N Quincy St,38.880012,-77.107854,6813,6032,12845
31301,Ward Circle / American University,38.938736,-77.087171,6490,6001,12491
31320,American University East Campus,38.936298,-77.087128,6723,5729,12452
31512,Neal St & Trinidad Ave NE,38.903732,-76.987211,6226,6208,12434
31621,4th & D St NW / Judiciary Square,38.895344,-77.016106,6131,6235,12366
31326,Hardy Rec Center,38.90970086204467,-77.08564639091492,6162,6191,12353
31418,New Hampshire & Gallatin St NW,38.951596,-77.012808,6700,5607,12307
31304,36th & Calvert St NW / Glover Park,38.922581,-77.070334,6370,5808,12178
31006,Pentagon Row Plaza / Army Navy Dr & Joyce St,38.86331354301248,-77.06341624259947,5961,6057,12018
31411,Georgia & Missouri Ave NW,38.961339,-77.027855,6467,5515,11982
31939,Wilson Blvd & N Oak St,38.895068,-77.07386,5942,5988,11930
31407,Colorado Ave & Longfellow St NW,38.957212,-77.032707,6365,5527,11892
31100,19th St & Pennsylvania Ave NW,38.9003,-77.0429,5868,5956,11824
31917,N Lynn St & Fairfax Dr,38.89386,-77.070862,5334,6150,11484
33200,17th St & New York Ave NW,38.896604,-77.039778,5604,5831,11435
33101,17th St & Kalorama Rd NW,38.9216394,-77.0385592,5773,5588,11361
31664,Half & Water St SW,38.866277,-77.010551,5479,5794,11273
31648,Potomac Ave & Half St SW,38.86968314861632,-77.01081544160843,5215,5963,11178
31310,Connecticut & Nebraska Ave NW,38.955016,-77.069956,5902,5268,11170
31392,39th St & Tunlaw Rd NW,38.9257,-77.079119,5686,5438,11124
31000,Eads St & 15th St S,38.859751,-77.053235,5521,5585,11106
31305,Connecticut Ave & Macomb St NW / Cleveland Park,38.93362634918731,-77.0575301349163,5736,5343,11079
31635,Potomac Ave & 8th St SE,38.876737,-76.994468,5442,5608,11050
31725,16th St & North Carolina Ave NE,38.893062,-76.982464,5491,5317,10808
31003,Crystal Dr & 15th St S,38.861056,-77.049417,5270,5364,10634
31969,Braddock Rd Metro South,38.813474,-77.053734,5231,5214,10445
31676,1st & Q St SW,38.87082393953792,-77.01191514730453,4929,5379,10308
31019,Wilson Blvd & N Edgewood St,38.889396070923496,-77.09186241030693,5462,4761,10223
31077,Iwo Jima Memorial / Meade & 14th St N,38.88992,-77.071301,5065,5157,10222
31425,Georgia Ave & Dahlia St NW,38.976061,-77.026747,5506,4538,10044
31284,18th & C St NW,38.893511,-77.041544,4760,4990,9750
31424,9th & Ingraham St NW,38.95366314394005,-77.02561318874359,5065,4635,9700
31017,Wilson Blvd & N Uhle St,38.891696,-77.0846,5386,4261,9647
31712,Oklahoma Ave & D St NE,38.894474,-76.974828,4746,4857,9603
31030,Langston Blvd & N Adams St,38.89593,-77.089006,5537,4017,9554
31504,10th & Monroe St NE,38.932456900063606,-76.99353396892548,5330,4220,9550
31080,Langston Blvd & N Scott St,38.897612,-77.080851,4790,4748,9538
31541,10th & Quincy St NE / Turkey Thicket Rec,38.937849,-76.993509,4802,4548,9350
31011,Crystal Dr & 23rd St S,38.852929,-77.049723,4521,4599,9120
31513,Rhode Island Ave & V St NE,38.918155,-77.004746,5061,4006,9067
31318,Connecticut Ave & Yuma St NW,38.947156,-77.065115,4539,4222,8761
31525,Trinidad Rec Center,38.906299,-76.983221,4412,4319,8731
31904,East Falls Church Metro / Sycamore St & 19th St N,38.88532071975074,-77.15642720460892,4438,4273,8711
31021,Clarendon Blvd & N Fillmore St,38.8881,-77.09308,4707,3989,8696
31403,5th & Kennedy St NW,38.95655554772196,-77.0198142528534,4441,4236,8677
31395,Massachusetts & Idaho Ave NW,38.931349,-77.077214,4702,3819,8521
31511,12th & Irving St NE,38.928644,-76.990955,4243,4107,8350
31920,Washington-Liberty High School / N Stafford St & Generals Way,38.888282,-77.111066,4309,4024,8333
31041,Prince St & Union St,38.803124,-77.040363,3770,4534,8304
31658,Rosedale Rec Center,38.897808,-76.979634,4086,4171,8257
31029,N Veitch St & 20th St N,38.896923,-77.086502,4197,4047,8244
31031,15th St & N Scott St,38.89054,-77.08095,4266,3949,8215
31402,14th St Heights / 14th & Crittenden St NW,38.94764924,-77.032858849,4154,3954,8108
31673,Waterfront Park,38.874820772513424,-77.0207878947258,3770,4316,8086
31015,Wilson Blvd & Ft Myer Dr,38.8946,-77.072305,3748,4293,8041
31508,Gallaudet / 8th St & Florida Ave NE,38.90509,-76.9941,3998,3983,7981
31313,Connecticut Ave & Tilden St NW,38.94113915653008,-77.061977237463,4213,3737,7950
31023,Fairfax Dr & Wilson Blvd,38.885801,-77.097745,4150,3781,7931
31607,13th & E St SE,38.882928133,-76.987836242,4144,3760,7904
31049,Fairfax Dr & N Taylor St,38.882338762,-77.112722516,3986,3885,7871
31098,King St Metro North / Cameron St,38.80704,-77.059817,3907,3961,7868
32399,16th & Pine St NW,38.930882931,-77.036236882,4185,3669,7854
31333,Wisconsin Ave & Rodman St NW,38.93967417202165,-77.07527697086334,4684,3091,7775
31665,Stadium Armory Metro,38.88548252734069,-76.97718724608421,4002,3733,7735
31034,Fairfax Dr & N Randolph St,38.882629,-77.109366,4107,3567,7674
31025,Central Library / Quincy St & 10th St N,38.88397,-77.10783,3916,3684,7600
31261,Virginia Ave & C St NW,38.894112,-77.044334,3621,3865,7486
31416,14th St & Luzon Ave NW,38.969489,-77.033509,3775,3583,7358
31940,Arlington Blvd & Fairfax Dr,38.88625606692058,-77.08426237106323,3633,3670,7303
33001,2nd & U St SW,38.866349,-77.01362,3532,3709,7241
31654,King Greenleaf Rec Center,38.876211,-77.012443,3383,3830,7213
31259,20th St & Virginia Ave NW,38.894722,-77.045128,3603,3580,7183
31091,Joyce St & 16th St S,38.859254,-77.063275,3611,3560,7171
31013,Eads St & 22nd St S,38.85438051517749,-77.05341160297394,3530,3596,7126
31042,Market Square / King St & Royal St,38.804718,-77.043363,3305,3796,7101
31520,24th & R St NE / National Arboretum,38.912647963,-76.971928477,3520,3501,7021
31391,44th St & New Mexico Ave NW,38.933899,-77.086263,3698,3311,7009
31413,3rd & Underwood St NW,38.96893546152592,-77.01626300811768,3689,3291,6980
31929,Mt Vernon Trail & S. Washington St.,38.7930647,-77.049436,3432,3505,6937
31138,4th & College St NW,38.92123296360907,-77.01813519001007,3581,3342,6923
