year,date,month,weekday,member_casual,rideable_type,ride_count,mean_duration_min,median_duration_min
2024,2024-01-31,1,3,casual,classic_bike,841,16.82439556084027,10.233333333333333
2024,2024-01-31,1,3,casual,electric_bike,1399,11.262139623540625,8.583333333333334
2024,2024-01-31,1,3,member,classic_bike,4214,11.26625533934504,8.183333333333334
2024,2024-01-31,1,3,member,electric_bike,4100,10.484284552845528,8.291666666666668
2024,2024-02-01,2,4,casual,classic_bike,1123,20.66179875333927,11.333333333333334
2024,2024-02-01,2,4,casual,electric_bike,1732,12.640107775211701,9.258333333333333
2024,2024-02-01,2,4,member,classic_bike,4358,12.841108306562644,8.658333333333333
2024,2024-02-01,2,4,member,electric_bike,4587,11.2306809098176,8.633333333333333
2024,2024-02-02,2,5,casual,classic_bike,1201,18.416458506799888,11.183333333333334
2024,2024-02-02,2,5,casual,electric_bike,1701,12.146139525769154,8.9
2024,2024-02-02,2,5,member,classic_bike,3906,10.62758149854924,8.033333333333333
2024,2024-02-02,2,5,member,electric_bike,4124,11.049894924021984,8.066666666666666
2024,2024-02-03,2,6,casual,classic_bike,2231,28.763006125803077,16.766666666666666
2024,2024-02-03,2,6,casual,electric_bike,2121,15.872567971082823,10.65
2024,2024-02-03,2,6,member,classic_bike,3800,12.727530701754386,9.3
2024,2024-02-03,2,6,member,electric_bike,3722,11.845687802256851,8.616666666666667
2024,2024-02-04,2,7,casual,classic_bike,1814,29.731468210216832,16.333333333333332
2024,2024-02-04,2,7,casual,electric_bike,1852,16.647075233981283,10.666666666666666
2024,2024-02-04,2,7,member,classic_bike,3514,13.357337317397079,8.9
2024,2024-02-04,2,7,member,electric_bike,3392,11.530935534591196,8.283333333333333
2024,2024-02-05,2,1,casual,classic_bike,1029,24.599578879170718,12.25
2024,2024-02-05,2,1,casual,electric_bike,1437,12.941950823474833,9.083333333333334
2024,2024-02-05,2,1,member,classic_bike,4124,12.155290171354672,8.116666666666667
2024,2024-02-05,2,1,member,electric_bike,3895,10.674462986735131,8.1
2024,2024-02-06,2,2,casual,classic_bike,1045,19.806921850079746,11.283333333333333
2024,2024-02-06,2,2,casual,electric_bike,1429,11.52602052717518,9.066666666666666
2024,2024-02-06,2,2,member,classic_bike,4436,11.64162533814247,8.3
2024,2024-02-06,2,2,member,electric_bike,4192,10.56341444020356,8.183333333333334
2024,2024-02-07,2,3,casual,classic_bike,1148,19.807273519163765,11.433333333333334
2024,2024-02-07,2,3,casual,electric_bike,1672,11.755771531100478,9.066666666666666
2024,2024-02-07,2,3,member,classic_bike,5010,11.233785761809715,8.566666666666666
2024,2024-02-07,2,3,member,electric_bike,4338,10.764280774550484,8.25
2024,2024-02-08,2,4,casual,classic_bike,1254,20.59271664008506,11.716666666666667
2024,2024-02-08,2,4,casual,electric_bike,1947,12.792492723848657,9.683333333333334
2024,2024-02-08,2,4,member,classic_bike,4734,10.91074144486692,8.3
2024,2024-02-08,2,4,member,electric_bike,4541,10.814570946193937,8.433333333333334
2024,2024-02-09,2,5,casual,classic_bike,1784,24.49981315396114,14.141666666666666
2024,2024-02-09,2,5,casual,electric_bike,2278,15.11766900790167,10.158333333333333
2024,2024-02-09,2,5,member,classic_bike,4684,11.807194705380017,8.45
2024,2024-02-09,2,5,member,electric_bike,4792,11.394379521424597,8.583333333333334
2024,2024-02-10,2,6,casual,classic_bike,3016,28.888240495137048,17.3
2024,2024-02-10,2,6,casual,electric_bike,2556,16.97046165884194,11.225
2024,2024-02-10,2,6,member,classic_bike,4383,13.03325728192258,8.516666666666667
2024,2024-02-10,2,6,member,electric_bike,4166,12.437121939510323,8.783333333333333
2024,2024-02-11,2,7,casual,classic_bike,1168,19.641666666666666,12.5
2024,2024-02-11,2,7,casual,electric_bike,1439,13.81997915218902,9.45
2024,2024-02-11,2,7,member,classic_bike,2830,11.21414605418139,7.983333333333333
2024,2024-02-11,2,7,member,electric_bike,3039,10.623872984534387,7.783333333333333
2024,2024-02-12,2,1,casual,classic_bike,807,21.74347377116894,10.466666666666667
2024,2024-02-12,2,1,casual,electric_bike,1205,11.741908713692945,8.85
2024,2024-02-12,2,1,member,classic_bike,3406,10.885995302407517,8.05
2024,2024-02-12,2,1,member,electric_bike,3301,10.759012420478642,8.05
2024,2024-02-13,2,2,casual,classic_bike,936,17.504237891737894,11.416666666666666
