station_key,station_name,lat,lng,departures,arrivals,total_usage,balance_gap,imbalance_rate
32025,Carroll & Westmoreland Ave,38.975,-77.01121,1778,1416,3194,362,0.11333750782717596
31640,Maryland Ave & E St NE,38.8962260397813,-76.99278563261032,13351,13002,26353,349,0.013243274010549083
31418,New Hampshire & Gallatin St NW,38.951596,-77.012808,4474,4127,8601,347,0.04034414602953145
31210,17th St & Rhode Island Ave NW,38.906826496,-77.038751483,13357,13011,26368,346,0.013121966019417475
31924,Wilson Blvd & N Troy St,38.892556,-77.082089,2916,2572,5488,344,0.06268221574344024
31527,North Capitol & R St NE,38.91256,-77.008775,10011,9676,19687,335,0.01701630517600447
31607,13th & E St SE,38.882928133,-76.987836242,3807,3472,7279,335,0.046022805330402525
31425,Georgia Ave & Dahlia St NW,38.976061,-77.026747,3632,3297,6929,335,0.0483475248953673
31040,GMU/Fairfax Dr & Kenmore St,38.88470271575736,-77.10030198097229,3174,2839,6013,335,0.055712622650923
31393,Wisconsin Ave & Upton St NW,38.941808,-77.07643,6563,6247,12810,316,0.024668227946916473
31514,Hamlin & 7th St NE,38.927497,-76.997194,6308,5994,12302,314,0.025524304991058365
31093,21st St & N Pierce St,38.898984,-77.078317,2700,2389,5089,311,0.06111220279033209
32048,Bethesda Metro / Wisconsin Ave & Old Georgetown Rd,38.984691,-77.094537,2672,2364,5036,308,0.06115965051628276
31023,Fairfax Dr & Wilson Blvd,38.885801,-77.097745,3779,3477,7256,302,0.041620727673649396
31973,N Pershing Dr & N Quebec St,38.874248,-77.104784,1983,1686,3669,297,0.08094848732624693
31699,Eastern Market Metro,38.884181,-76.995358,40298,40004,80302,294,0.0036611790490896864
31325,Reservoir Rd & 38th St NW,38.91261359469192,-77.07432264076488,14824,14530,29354,294,0.010015670777406827
31226,34th St & Wisconsin Ave NW,38.916442,-77.0682,10982,10692,21674,290,0.013380086739872659
31035,N Quincy St & Glebe Rd,38.876393,-77.107735,1966,1692,3658,274,0.07490431930016403
31027,Wilson Blvd & N Quinn St,38.893993,-77.07857,5803,5544,11347,259,0.02282541640962369
31392,39th St & Tunlaw Rd NW,38.9257,-77.079119,4862,4603,9465,259,0.027363972530375067
31407,Colorado Ave & Longfellow St NW,38.957212,-77.032707,4493,4238,8731,255,0.02920627648608407
32231,Dunn Loring Metro,38.8828,-77.2283,1644,1390,3034,254,0.08371786420566908
31529,Edgewood Rec Center,38.924144,-77.002098,6680,6430,13110,250,0.01906941266209001
31031,15th St & N Scott St,38.890479326,-77.080910563,3709,3460,7169,249,0.034732877667736084
31112,Harvard St & Adams Mill Rd NW,38.927872,-77.043358,6576,6329,12905,247,0.019139868268113133
31018,Rhodes St & 16th St N,38.892164,-77.079375,2120,1875,3995,245,0.06132665832290363
31309,Fessenden St & Wisconsin Ave NW,38.954812,-77.082426,1807,1564,3371,243,0.07208543458914268
32003,Montgomery Ave & Waverly St ,38.983838,-77.09221,1160,922,2082,238,0.1143131604226705
32019,East West Hwy & Blair Mill Rd,38.990249,-77.02935,1050,812,1862,238,0.12781954887218044
32014,Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir,38.961763,-77.085998,2832,2596,5428,236,0.043478260869565216
32001,Fenton St & New York Ave ,38.985404,-77.023082,1306,1071,2377,235,0.09886411442995373
32008,Cordell & Norfolk Ave,38.98954,-77.098029,1467,1233,2700,234,0.08666666666666667
31050,Barton St & 10th St N,38.884961,-77.08777,1877,1648,3525,229,0.0649645390070922
31290,17th St & Independence Ave SW,38.888097,-77.038325,13094,12866,25960,228,0.008782742681047766
31657,Massachusetts Ave & 6th St NE,38.892875,-76.998413,9700,9472,19172,228,0.011892343000208638
31659,11th & C St SE,38.885908,-76.991476,7471,7244,14715,227,0.015426435609921848
31528,John McCormack Rd NE,38.938889,-76.997226,2048,1821,3869,227,0.058671491341431896
31511,12th & Irving St NE,38.928644,-76.990955,3624,3398,7022,226,0.03218456280262034
31643,1st & D St SE,38.884916,-77.005965,12446,12221,24667,225,0.009121498358130295
31626,15th St & Massachusetts Ave SE,38.88732,-76.983569,7242,7023,14265,219,0.015352260778128285
31138,4th & College St NW,38.92123296360907,-77.01813519001007,3019,2800,5819,219,0.037635332531362774
31405,Georgia Ave & Emerson St NW,38.949662,-77.027333,2122,1906,4028,216,0.05362462760675273
31406,14th & Upshur St NW,38.942475355602845,-77.03267812728882,5489,5274,10763,215,0.01997584316640342
31032,Washington Blvd & 7th St N,38.88081,-77.090792,1839,1626,3465,213,0.06147186147186147
31641,2nd St & Massachusetts Ave NE,38.894972,-77.003135,17669,17457,35126,212,0.006035415361840232
32040,Friendship Blvd & Willard Ave,38.96115,-77.088659,1481,1273,2754,208,0.07552650689905592
32053,Medical Center Metro ,38.999378,-77.097882,1346,1139,2485,207,0.08329979879275654
